ID,Umur,Pendidikan Terakhir,P1_tau_organik,P2_tau_cara,P3_tau_dampak,S1_rasa_jwb,S2_percaya_penting,S3_sekitar_milah,PK1_niat_rutin,PK2_sering_milah,PK3_ikut_kegiatan,PK4_rutin_buang,H1_merepotkan,H2_buang_waktu,H3_fasilitas,H4_lingkungan_dukung,skor_pengetahuan,skor_sikap,skor_perilaku,skor_hambatan,skor_total,label,label_num
R01,56,SMA,5,3,5,5,5,1,1,1,2,1,1,1,0,0,0.8333333333333334,0.6666666666666666,0.0625,0.0,0.390625,belum_memilah,0
R02,51,SMA,5,5,5,4,4,1,5,1,5,1,0,0,0,1,1.0,0.5,0.5,0.75,0.6875,sudah_memilah,1
R03,32,SMA,5,4,5,5,5,2,4,3,5,3,0,0,1,0,0.9166666666666666,0.75,0.6875,0.75,0.7760416666666666,sudah_memilah,1
R04,63,SD,4,2,4,5,4,1,1,2,2,2,0,0,0,0,0.5833333333333334,0.5833333333333334,0.1875,0.5,0.4635416666666667,belum_memilah,0
R05,56,SMP,4,4,3,5,4,1,3,3,2,3,1,1,0,0,0.6666666666666666,0.5833333333333334,0.4375,0.0,0.421875,belum_memilah,0
R06,33,SMA,4,5,4,5,5,5,3,3,3,3,1,1,0,0,0.8333333333333334,1.0,0.5,0.0,0.5833333333333334,sudah_memilah,1
R07,56,SMA,5,4,4,5,5,2,5,4,3,3,1,1,0,0,0.8333333333333334,0.75,0.6875,0.0,0.5677083333333334,sudah_memilah,1
R08,35,SMA,5,5,5,5,5,4,5,5,4,5,0,0,0,0,1.0,0.9166666666666666,0.9375,0.5,0.8385416666666666,sudah_memilah,1
R09,52,SD,5,4,4,5,4,4,3,3,2,5,0,0,1,0,0.8333333333333334,0.8333333333333334,0.5625,0.75,0.7447916666666667,sudah_memilah,1
R10,36,SMA,3,4,5,5,5,1,3,1,1,1,1,1,1,1,0.75,0.6666666666666666,0.125,0.5,0.5104166666666666,belum_memilah,0
R11,58,SD,4,2,1,5,5,1,4,2,4,2,0,0,0,0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,belum_memilah,0
R12,56,SMA,5,2,4,3,2,1,3,1,1,1,1,1,0,0,0.6666666666666666,0.25,0.125,0.0,0.26041666666666663,belum_memilah,0
R13,30,S1,2,1,1,4,5,4,4,1,3,2,0,0,0,0,0.08333333333333333,0.8333333333333334,0.375,0.5,0.4479166666666667,belum_memilah,0
R14,60,SMA,3,3,4,5,5,2,5,1,1,1,0,1,0,0,0.5833333333333334,0.75,0.25,0.25,0.45833333333333337,belum_memilah,0
R15,45,SMA,3,3,3,4,4,2,5,1,1,1,0,0,0,0,0.5,0.5833333333333334,0.25,0.5,0.45833333333333337,belum_memilah,0
R16,38,SMA,5,4,5,3,4,1,5,1,5,1,0,0,0,1,0.9166666666666666,0.4166666666666667,0.5,0.75,0.6458333333333333,sudah_memilah,1
R17,29,SMK,4,4,5,4,4,1,5,2,5,1,0,0,0,1,0.8333333333333334,0.5,0.5625,0.75,0.6614583333333334,sudah_memilah,1
R18,37,Tidak Diketahui,5,4,4,3,3,1,4,1,5,1,1,1,0,0,0.8333333333333334,0.3333333333333333,0.4375,0.0,0.4010416666666667,belum_memilah,0
R19,58,SMA,3,3,4,5,5,1,5,1,1,1,0,0,0,0,0.5833333333333334,0.6666666666666666,0.25,0.5,0.5,belum_memilah,0
R20,42,SMK,5,4,4,3,4,2,4,1,1,1,0,0,0,1,0.8333333333333334,0.5,0.1875,0.75,0.5677083333333334,sudah_memilah,1
R21,60,SD,3,3,4,4,5,2,5,4,4,4,0,0,0,1,0.5833333333333334,0.6666666666666666,0.8125,0.75,0.703125,sudah_memilah,1
R22,60,SD,4,4,4,4,4,2,4,1,4,4,0,0,0,1,0.75,0.5833333333333334,0.5625,0.75,0.6614583333333334,sudah_memilah,1
R23,45,SMP,2,2,4,2,3,1,2,1,1,1,0,0,0,1,0.4166666666666667,0.25,0.0625,0.75,0.3697916666666667,belum_memilah,0
R24,40,SMP,4,2,3,3,5,4,4,4,3,4,0,0,0,1,0.5,0.75,0.6875,0.75,0.671875,sudah_memilah,1
R25,27,SMA,5,4,5,4,5,4,5,2,3,3,0,0,0,1,0.9166666666666666,0.8333333333333334,0.5625,0.75,0.765625,sudah_memilah,1
R26,49,SMA,2,2,3,3,3,4,3,2,1,2,0,0,0,1,0.3333333333333333,0.5833333333333334,0.25,0.75,0.4791666666666667,belum_memilah,0
R27,45,S1,5,5,5,4,4,3,5,3,4,5,0,0,1,1,1.0,0.6666666666666666,0.8125,1.0,0.8697916666666666,sudah_memilah,1
R28,60,Tidak Sekolah,5,4,3,4,3,3,1,1,1,1,0,0,0,0,0.75,0.5833333333333334,0.0,0.5,0.45833333333333337,belum_memilah,0
R29,50,SMP,3,3,5,5,5,4,5,2,2,2,0,0,0,1,0.6666666666666666,0.9166666666666666,0.4375,0.75,0.6927083333333333,sudah_memilah,1
R30,28,SMK,4,4,5,5,3,2,5,1,1,1,0,0,0,0,0.8333333333333334,0.5833333333333334,0.25,0.5,0.5416666666666667,sudah_memilah,1
R31,39,SMK,3,3,4,4,4,2,4,1,1,1,1,1,0,1,0.5833333333333334,0.5833333333333334,0.1875,0.25,0.4010416666666667,belum_memilah,0
R32,57,S1,5,5,5,4,4,2,4,1,3,1,0,0,0,1,1.0,0.5833333333333334,0.3125,0.75,0.6614583333333334,sudah_memilah,1
R33,32,S1,5,5,4,3,4,1,4,1,3,2,0,0,0,1,0.9166666666666666,0.4166666666666667,0.375,0.75,0.6145833333333333,sudah_memilah,1
R34,62,SMA,2,3,2,4,2,2,2,1,2,1,1,1,0,0,0.3333333333333333,0.4166666666666667,0.125,0.0,0.21875,belum_memilah,0
R35,32,SMP,5,4,5,4,4,2,4,3,4,3,0,0,1,0,0.9166666666666666,0.5833333333333334,0.625,0.75,0.71875,sudah_memilah,1
R36,58,SMP,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0.5,0.25,0.0625,0.0,0.203125,belum_memilah,0
R37,55,SMA,5,4,4,3,3,3,5,2,1,1,0,0,0,1,0.8333333333333334,0.5,0.3125,0.75,0.5989583333333334,sudah_memilah,1
R38,46,SMA,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0.5,0.25,0.0625,0.0,0.203125,belum_memilah,0
R39,46,SMA,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0.5,0.25,0.0625,0.0,0.203125,belum_memilah,0
R40,46,SMA,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0.5,0.25,0.0625,0.0,0.203125,belum_memilah,0
R41,29,SMK,5,5,4,4,5,5,5,4,4,5,0,0,0,1,0.9166666666666666,0.9166666666666666,0.875,0.75,0.8645833333333333,sudah_memilah,1
R42,46,SMA,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0.5,0.25,0.0625,0.0,0.203125,belum_memilah,0
