ID,Umur,Pendidikan Terakhir,P1_tau_organik,P2_tau_cara,P3_tau_dampak,S1_rasa_jwb,S2_percaya_penting,S3_sekitar_milah,PK1_niat_rutin,PK2_sering_milah,PK3_ikut_kegiatan,PK4_rutin_buang,H1_merepotkan,H2_buang_waktu,H3_fasilitas,H4_lingkungan_dukung,R1_tertarik,R2_memengaruhi,R3_reward_menarik,R4_usaha_sebanding
R01,56,SMA,5,3,5,5,5,1,4,3,2,4,0,1,0,0,5,4,4,4
R02,51,SMA,5,5,5,4,4,1,5,3,5,5,0,0,0,1,3,3,5,4
R03,32,SMA,5,4,5,5,5,2,5,3,5,5,0,0,1,0,5,5,5,5
R04,63,SD,4,2,4,5,4,1,2,4,2,3,0,0,0,0,2,2,4,4
R05,56,SMP,4,4,3,5,4,1,4,3,2,5,0,0,0,0,5,5,5,5
R06,33,SMA,4,5,4,5,5,5,4,3,3,4,0,0,0,0,5,2,4,5
R07,56,SMA,5,4,4,5,5,2,5,4,3,5,0,0,0,0,5,5,5,5
R08,35,SMA,5,5,5,5,5,4,5,5,4,5,0,0,0,0,5,5,5,5
R09,52,SD,5,4,4,5,4,4,3,3,2,3,0,0,1,0,5,5,5,5
R10,36,SMA,3,4,5,5,5,1,5,4,1,5,1,0,1,1,5,3,5,5
R11,58,SD,4,2,1,5,5,1,3,3,4,4,0,0,0,0,4,4,3,4
R12,56,SMA,5,2,4,3,2,1,5,5,1,5,1,0,0,0,5,1,5,5
R13,30,S1,5,5,4,4,5,5,2,4,4,2,0,0,0,1,5,4,5,5
R14,60,SMA,3,3,4,5,5,2,3,4,1,3,0,0,0,0,5,5,5,5
R15,45,SMA,3,3,3,4,4,2,5,4,1,5,0,0,0,0,5,1,5,5
R16,38,SMA,5,4,5,3,4,1,4,5,5,4,0,0,0,1,5,5,5,5
R17,29,SMK,4,4,5,4,4,1,3,5,5,3,0,0,0,1,4,4,5,5
R18,37,Tidak Diketahui,5,4,4,3,3,1,4,3,5,5,1,1,0,0,5,5,4,4
R19,58,SMA,5,5,4,4,5,5,4,4,4,4,0,0,0,1,5,4,4,5
R20,42,SMK,5,4,4,3,4,2,4,3,1,4,0,0,0,1,5,5,5,5
R21,60,SD,3,3,4,4,5,2,4,5,4,3,0,0,0,1,4,4,5,5
R22,60,SD,4,4,4,4,4,2,4,2,4,5,0,0,0,1,5,1,5,5
R23,45,SMP,5,5,4,4,5,5,4,3,4,4,0,0,0,1,5,5,5,5
R24,40,SMP,4,2,3,3,5,4,5,5,3,5,0,0,0,1,5,1,5,5
R25,27,SMA,5,4,5,4,5,4,5,4,3,5,0,0,0,1,5,1,5,5
R26,49,SMA,5,5,4,4,5,5,5,3,4,5,0,0,0,1,5,5,5,5
R27,45,S1,5,5,5,4,4,3,4,5,4,4,0,0,1,1,4,4,5,5
R28,60,Tidak Sekolah,5,4,3,4,3,3,3,4,1,4,0,0,0,0,5,4,4,4
R29,50,SMP,3,3,5,5,5,4,5,4,2,5,0,0,0,1,5,4,4,4
R30,28,SMK,4,4,5,5,3,2,5,4,1,5,0,0,0,0,5,4,4,4
R31,39,SMK,3,3,4,4,4,2,4,5,1,3,1,0,0,1,5,4,4,4
R32,57,S1,5,5,5,4,4,2,4,4,3,5,0,0,0,1,3,4,4,4
R33,32,S1,5,5,4,3,4,1,4,5,3,4,0,0,0,1,3,4,4,4
R34,62,SMA,5,5,4,4,5,5,5,5,4,5,0,0,0,1,3,4,4,4
R35,32,SMP,5,4,5,4,4,2,4,5,4,5,0,0,1,0,5,4,4,4
R36,58,SMP,3,3,3,2,2,2,2,4,1,3,1,1,0,0,5,4,4,4
R37,55,SMA,5,4,4,3,3,3,5,2,1,5,0,0,0,1,3,4,4,4
R38,46,SMA,5,5,4,4,5,5,5,4,4,4,0,0,0,1,5,4,4,4
R39,46,SMA,3,3,3,2,2,2,2,4,3,5,0,0,0,0,5,3,5,5
R40,46,SMA,3,3,3,2,2,2,2,5,3,2,0,0,0,0,4,4,3,4
R41,29,SMK,5,5,4,4,5,5,5,3,4,3,0,0,0,1,5,1,5,5
R42,46,SMA,5,5,4,4,5,5,5,4,4,5,0,0,0,1,5,4,3,4
