fitur,importance
P2_tau_cara,0.14743741678106198
PK1_niat_rutin,0.11986224343565731
P3_tau_dampak,0.11718064639162842
PK3_ikut_kegiatan,0.0935627344231951
H2_buang_waktu,0.08797244634070367
PK4_rutin_buang,0.07724924052122079
P1_tau_organik,0.07712493762757289
H4_lingkungan_dukung,0.06157782111121661
PK2_sering_milah,0.061013678578173525
S3_sekitar_milah,0.057263780742642136
H1_merepotkan,0.044108457338318786
S2_percaya_penting,0.03184778948375869
S1_rasa_jwb,0.0184747859705069
H3_fasilitas,0.00532402125434332
